,t,c,producto,CantidadPedir
1146,9,8,3,6
1147,9,8,4,1
1148,9,8,5,0
1149,9,8,6,0
1150,9,8,7,5
1151,9,8,8,7
1152,9,8,9,9
1153,9,8,10,0
1154,9,8,11,4
1155,9,8,12,3
1156,9,8,13,1
1157,9,9,1,0
1158,9,9,2,0
1159,9,9,3,0
1160,9,9,4,0
1161,9,9,5,0
1162,9,9,6,0
1163,9,9,7,0
1164,9,9,8,0
1165,9,9,9,0
1166,9,9,10,0
1167,9,9,11,0
1168,9,9,12,0
1169,9,9,13,0
1170,10,0,1,0
1171,10,0,2,0
1172,10,0,3,0
1173,10,0,4,0
1174,10,0,5,0
1175,10,0,6,0
1176,10,0,7,0
1177,10,0,8,0
1178,10,0,9,0
1179,10,0,10,0
1180,10,0,11,0
1181,10,0,12,0
1182,10,0,13,0
1183,10,1,1,8
1184,10,1,2,0
1185,10,1,3,0
1186,10,1,4,0
1187,10,1,5,0
1188,10,1,6,13
1189,10,1,7,6
1190,10,1,8,6
1191,10,1,9,0
1192,10,1,10,0
1193,10,1,11,0
1194,10,1,12,0
1195,10,1,13,5
1196,10,2,1,0
1197,10,2,2,0
1198,10,2,3,6
1199,10,2,4,0
1200,10,2,5,3
1201,10,2,6,0
1202,10,2,7,0
1203,10,2,8,9
1204,10,2,9,0
1205,10,2,10,0
1206,10,2,11,9
1207,10,2,12,8
1208,10,2,13,4
1209,10,3,1,0
1210,10,3,2,0
1211,10,3,3,0
1212,10,3,4,0
1213,10,3,5,0
1214,10,3,6,0
1215,10,3,7,0
1216,10,3,8,0
1217,10,3,9,0
1218,10,3,10,0
1219,10,3,11,0
1220,10,3,12,0
1221,10,3,13,0
1222,10,4,1,0
1223,10,4,2,0
1224,10,4,3,0
1225,10,4,4,0
1226,10,4,5,0
1227,10,4,6,0
1228,10,4,7,0
1229,10,4,8,0
1230,10,4,9,0
1231,10,4,10,0
1232,10,4,11,0
1233,10,4,12,0
1234,10,4,13,0
1235,10,5,1,0
1236,10,5,2,0
1237,10,5,3,0
1238,10,5,4,0
1239,10,5,5,0
1240,10,5,6,0
1241,10,5,7,0
1242,10,5,8,0
1243,10,5,9,0
1244,10,5,10,0
1245,10,5,11,0
1246,10,5,12,0
1247,10,5,13,0
1248,10,6,1,0
1249,10,6,2,0
1250,10,6,3,0
1251,10,6,4,0
1252,10,6,5,0
1253,10,6,6,0
1254,10,6,7,0
1255,10,6,8,0
1256,10,6,9,0
1257,10,6,10,0
1258,10,6,11,0
1259,10,6,12,0
1260,10,6,13,0
1261,10,7,1,4
1262,10,7,2,10
1263,10,7,3,1
1264,10,7,4,10
1265,10,7,5,3
1266,10,7,6,0
1267,10,7,7,0
1268,10,7,8,0
1269,10,7,9,7
1270,10,7,10,5
1271,10,7,11,0
1272,10,7,12,0
